,s,l,signal,gold,silver
16169,46,48,19,9,10
16873,47,49,18,9,10
16168,46,48,18,9,10
16844,45,49,19,9,10
16859,46,49,19,9,10
15479,45,47,19,9,10
16858,46,49,18,9,10
16829,44,49,19,9,10
16154,45,48,19,9,10
16139,44,48,19,9,10
16814,43,49,19,10,11
16783,41,49,18,10,11
16768,40,49,18,10,11
16754,39,49,19,10,11
16739,38,49,19,10,11
13499,42,44,19,10,11
14129,42,45,19,10,11
14144,43,45,19,10,11
16079,40,48,19,10,11
14759,41,46,19,10,11
14774,42,46,19,10,11
16108,42,48,18,10,11
16093,41,48,18,10,11
14788,43,46,18,10,11
15404,40,47,19,10,11
15419,41,47,19,10,11
15433,42,47,18,10,11
15448,43,47,18,10,11
15462,44,47,17,10,11
16064,39,48,19,10,11
14744,40,46,19,10,11
16874,47,49,19,10,11
14114,41,45,19,10,11
16872,47,49,17,10,11
16843,45,49,18,10,11
15294,33,47,14,11,12
15284,32,47,19,11,12
15283,32,47,18,11,12
15281,32,47,16,11,12
15280,32,47,15,11,12
15279,32,47,14,11,12
15269,31,47,19,11,12
15267,31,47,17,11,12
15266,31,47,16,11,12
15265,31,47,15,11,12
15253,30,47,18,11,12
15252,30,47,17,11,12
15251,30,47,16,11,12
15239,29,47,19,11,12
15238,29,47,18,11,12
15237,29,47,17,11,12
15224,28,47,19,11,12
15295,33,47,15,11,12
15296,33,47,16,11,12
15297,33,47,17,11,12
15298,33,47,18,11,12
15389,39,47,19,11,12
15388,39,47,18,11,12
15387,39,47,17,11,12
15373,38,47,18,11,12
15359,37,47,19,11,12
15358,37,47,18,11,12
15353,37,47,13,11,12
15344,36,47,19,11,12
15340,36,47,15,11,12
15338,36,47,13,11,12
15329,35,47,19,11,12
15326,35,47,16,11,12
15324,35,47,14,11,12
15323,35,47,13,11,12
15312,34,47,17,11,12
15310,34,47,15,11,12
15309,34,47,14,11,12
15223,28,47,18,11,12
15209,27,47,19,11,12
14803,44,46,18,11,12
15402,40,47,17,11,12
14681,36,46,16,11,12
14679,36,46,14,11,12
14678,36,46,13,11,12
14667,35,46,17,11,12
14665,35,46,15,11,12
14664,35,46,14,11,12
14663,35,46,13,11,12
14653,34,46,18,11,12
14652,34,46,17,11,12
14650,34,46,15,11,12
14649,34,46,14,11,12
14639,33,46,19,11,12
14638,33,46,18,11,12
14636,33,46,16,11,12
14635,33,46,15,11,12
14634,33,46,14,11,12
14624,32,46,19,11,12
14684,36,46,19,11,12
14693,37,46,13,11,12
14695,37,46,15,11,12
14699,37,46,19,11,12
14802,44,46,17,11,12
14801,44,46,16,11,12
14789,43,46,19,11,12
12191,36,42,16,11,12
14786,43,46,16,11,12
12190,36,42,15,11,12
14773,42,46,18,11,12
14772,42,46,17,11,12
14804,44,46,19,11,12
14771,42,46,16,11,12
14757,41,46,17,11,12
12177,35,42,17,11,12
14743,40,46,18,11,12
14742,40,46,17,11,12
14728,39,46,18,11,12
14714,38,46,19,11,12
14713,38,46,18,11,12
14708,38,46,13,11,12
12179,35,42,19,11,12
12193,36,42,18,11,12
15416,41,47,16,11,12
15417,41,47,17,11,12
12219,38,42,14,11,12
16091,41,48,16,11,12
12218,38,42,13,11,12
16078,40,48,18,11,12
16077,40,48,17,11,12
12208,37,42,18,11,12
16062,39,48,17,11,12
16048,38,48,18,11,12
16047,38,48,17,11,12
16034,37,48,19,11,12
16033,37,48,18,11,12
16019,36,48,19,11,12
16018,36,48,18,11,12
16013,36,48,13,11,12
16004,35,48,19,11,12
15999,35,48,14,11,12
15998,35,48,13,11,12
16094,41,48,19,11,12
15986,34,48,16,11,12
16106,42,48,16,11,12
12220,38,42,15,11,12
16167,46,48,17,11,12
16166,46,48,16,11,12
16164,46,48,14,11,12
16153,45,48,18,11,12
16152,45,48,17,11,12
16151,45,48,16,11,12
16150,45,48,15,11,12
12222,38,42,17,11,12
16138,44,48,18,11,12
16137,44,48,17,11,12
16136,44,48,16,11,12
16135,44,48,15,11,12
16124,43,48,19,11,12
16123,43,48,18,11,12
16122,43,48,17,11,12
16120,43,48,15,11,12
16109,42,48,19,11,12
16107,42,48,17,11,12
15984,34,48,14,11,12
15983,34,48,13,11,12
15972,33,48,17,11,12
15478,45,47,18,11,12
15477,45,47,17,11,12
15476,45,47,16,11,12
15475,45,47,15,11,12
15464,44,47,19,11,12
15463,44,47,18,11,12
12206,37,42,16,11,12
15460,44,47,15,11,12
15449,43,47,19,11,12
12205,37,42,15,11,12
15447,43,47,17,11,12
15446,43,47,16,11,12
15434,42,47,19,11,12
12204,37,42,14,11,12
15431,42,47,16,11,12
12194,36,42,19,11,12
15418,41,47,18,11,12
12207,37,42,17,11,12
15884,27,48,19,11,12
15898,28,48,18,11,12
15899,28,48,19,11,12
15970,33,48,15,11,12
15969,33,48,14,11,12
15958,32,48,18,11,12
15956,32,48,16,11,12
15955,32,48,15,11,12
15954,32,48,14,11,12
15944,31,48,19,11,12
15943,31,48,18,11,12
14622,32,46,17,11,12
15942,31,48,17,11,12
15940,31,48,15,11,12
15939,31,48,14,11,12
15929,30,48,19,11,12
15927,30,48,17,11,12
15926,30,48,16,11,12
15925,30,48,15,11,12
15913,29,48,18,11,12
15912,29,48,17,11,12
15941,31,48,16,11,12
14621,32,46,16,11,12
12249,40,42,14,11,12
14609,31,46,19,11,12
12789,36,43,14,11,12
12779,35,43,19,11,12
12778,35,43,18,11,12
12236,39,42,16,11,12
12776,35,43,16,11,12
12775,35,43,15,11,12
12764,34,43,19,11,12
12762,34,43,17,11,12
12761,34,43,16,11,12
12749,33,43,19,11,12
12748,33,43,18,11,12
12747,33,43,17,11,12
12734,32,43,19,11,12
12733,32,43,18,11,12
12719,31,43,19,11,12
9929,35,38,19,11,12
9943,36,38,18,11,12
12790,36,43,15,11,12
9944,36,38,19,11,12
12791,36,43,16,11,12
12793,36,43,18,11,12
12869,41,43,19,11,12
12868,41,43,18,11,12
12854,40,43,19,11,12
12853,40,43,18,11,12
12848,40,43,13,11,12
12839,39,43,19,11,12
12834,39,43,14,11,12
12833,39,43,13,11,12
12233,39,42,13,11,12
12234,39,42,14,11,12
12821,38,43,16,11,12
12819,38,43,14,11,12
12818,38,43,13,11,12
12807,37,43,17,11,12
12805,37,43,15,11,12
12804,37,43,14,11,12
12803,37,43,13,11,12
12792,36,43,17,11,12
10454,34,39,19,11,12
10468,35,39,18,11,12
10469,35,39,19,11,12
11607,36,41,17,11,12
11608,36,41,18,11,12
11609,36,41,19,11,12
11620,37,41,15,11,12
11621,37,41,16,11,12
11623,37,41,18,11,12
11624,37,41,19,11,12
11634,38,41,14,11,12
11635,38,41,15,11,12
11636,38,41,16,11,12
11637,38,41,17,11,12
11638,38,41,18,11,12
11648,39,41,13,11,12
11649,39,41,14,11,12
11650,39,41,15,11,12
11652,39,41,17,11,12
12254,40,42,19,11,12
11606,36,41,16,11,12
11594,35,41,19,11,12
