,s,l,signal,gold,silver,assets
0,1,2,2,4536,4536,180286.98933935657
1,1,2,3,4212,4213,189412.192715214
2,1,2,4,4019,4020,175313.7163345735
3,1,2,5,3899,3900,160183.2272142628
4,1,2,6,3822,3823,156425.99690748652
5,1,2,7,3765,3766,136446.2714690697
6,1,2,8,3712,3713,148703.4587286182
7,1,2,9,3661,3662,154884.3454100792
8,1,2,10,3640,3641,135075.508955951
9,1,2,11,3624,3625,115640.11241486002
10,1,2,12,3602,3603,108782.02195223838
11,1,2,13,3582,3583,100928.55767810761
12,1,2,14,3566,3567,116996.1796556792
13,1,2,15,3552,3553,124122.50794306463
14,1,2,16,3528,3529,139533.89379316338
15,1,2,17,3517,3518,142655.00216723658
16,1,2,18,3513,3514,137787.64066538657
17,1,2,19,3509,3510,140028.65219222434
18,1,2,20,3503,3504,128856.70716053103
19,1,2,21,3500,3501,132673.89480389628
20,1,2,22,3498,3499,133066.68221578992
21,1,2,23,3492,3493,134530.17858970494
22,1,2,24,3494,3495,129264.15704421054
23,1,3,2,4212,4213,190108.9775607717
24,1,3,3,3842,3843,171129.53899154085
25,1,3,4,3649,3650,159656.82506477486
26,1,3,5,3504,3505,176020.57637367645
27,1,3,6,3406,3407,143646.94856239852
28,1,3,7,3320,3321,141680.48865240646
29,1,3,8,3268,3269,147439.5201310698
30,1,3,9,3209,3210,140828.87578158142
31,1,3,10,3175,3176,133938.12819075686
32,1,3,11,3150,3151,128762.3659911842
33,1,3,12,3144,3145,116974.8864790192
34,1,3,13,3118,3119,113394.96121851174
35,1,3,14,3084,3085,123362.46101938805
36,1,3,15,3076,3077,125852.05212550104
37,1,3,16,3079,3080,123483.34344213919
38,1,3,17,3063,3064,129180.69404841619
39,1,3,18,3047,3048,130933.61913974921
40,1,3,19,3036,3037,124551.27775811874
41,1,3,20,3031,3032,123280.70431400562
42,1,3,21,3033,3034,113737.72057077242
43,1,3,22,3018,3019,117708.30371004534
44,1,3,23,3012,3013,116092.65594792269
45,1,3,24,3017,3018,106130.55929970305
46,2,3,2,3474,3475,188457.18258352595
47,2,3,3,3108,3109,169057.24738145067
48,2,3,4,2906,2907,192286.55038195444
49,2,3,5,2754,2755,168114.48351929686
50,2,3,6,2655,2656,156757.12726624665
51,2,3,7,2578,2579,162475.85853625642
52,2,3,8,2509,2510,125532.90939571067
53,2,3,9,2468,2469,99713.5804017802
54,2,3,10,2430,2431,92583.32341208265
55,2,3,11,2396,2397,86035.48652342931
56,2,3,12,2380,2381,80458.54065554752
57,2,3,13,2370,2371,80918.99399951227
58,2,3,14,2344,2345,80681.4213669338
59,2,3,15,2318,2319,82688.63606722059
60,2,3,16,2303,2304,82005.72798011835
61,2,3,17,2291,2292,83126.14479177199
62,2,3,18,2282,2283,93851.89008423993
63,2,3,19,2270,2271,94220.71146092571
64,2,3,20,2256,2257,87620.05920026134
65,2,3,21,2248,2249,83299.59849652716
66,2,3,22,2240,2241,85526.99202167137
67,2,3,23,2236,2237,84589.86719547474
68,2,3,24,2227,2228,85557.0194772898
69,1,4,2,4020,4021,175158.91239842388
70,1,4,3,3649,3650,159656.82506477486
71,1,4,4,3422,3423,149213.57056390104
72,1,4,5,3262,3263,147312.42381064052
73,1,4,6,3149,3150,138358.01084984394
74,1,4,7,3064,3065,127540.90255588219
75,1,4,8,2994,2995,147698.38258369514
76,1,4,9,2945,2946,125678.4455958729
77,1,4,10,2904,2905,124980.97500613336
78,1,4,11,2870,2871,117363.06699781376
79,1,4,12,2840,2841,120483.46492572941
80,1,4,13,2805,2806,124724.84642027022
81,1,4,14,2782,2783,129886.78702453237
82,1,4,15,2778,2779,104841.62514555106
83,1,4,16,2756,2757,118994.86013764709
84,1,4,17,2742,2743,127370.32918532912
85,1,4,18,2730,2731,126188.99617299844
86,1,4,19,2711,2712,123143.14116863045
87,1,4,20,2702,2703,115414.24838494444
88,1,4,21,2689,2690,113392.71313803706
89,1,4,22,2679,2680,110707.9014639345
90,1,4,23,2675,2676,98701.67125758488
91,1,4,24,2680,2681,96879.763235908
92,2,4,2,3262,3263,166672.20785781846
93,2,4,3,2906,2907,192286.55038195444
94,2,4,4,2678,2679,164380.78619114426
95,2,4,5,2550,2551,157371.3692369947
96,2,4,6,2418,2419,115070.35324990394
97,2,4,7,2343,2344,103215.32491942158
98,2,4,8,2290,2291,93669.95869997029
99,2,4,9,2235,2236,97273.65353343716
100,2,4,10,2207,2208,88654.83084276077
101,2,4,11,2160,2161,89925.82974537284
102,2,4,12,2138,2139,78695.56129550161
103,2,4,13,2110,2111,77763.74561836745
104,2,4,14,2083,2084,83791.99727946159
105,2,4,15,2067,2068,77952.54275567135
106,2,4,16,2053,2054,81292.84055629594
