,s,l,signal,gold,silver,assets
0,1,2,2,176,176,85035.25546194406
1,1,2,3,165,165,94229.57697651008
2,1,2,4,160,160,85128.1927311515
3,1,2,5,153,153,90077.17986065023
4,1,2,6,148,148,89078.54467202995
5,1,2,7,145,145,89878.92453163507
6,1,2,8,140,140,100164.43289703722
7,1,2,9,139,139,85781.87756071985
8,1,2,10,137,137,85668.9008285281
9,1,2,11,134,134,88610.34353230124
10,1,2,12,133,133,101814.13454254706
11,1,2,13,131,131,106864.3851085927
12,1,2,14,132,132,103785.29449809587
13,1,2,15,134,134,105056.85814232995
14,1,2,16,135,135,104547.64168511971
15,1,2,17,135,135,102708.58375823234
16,1,2,18,133,133,104076.79036301366
17,1,2,19,132,132,104647.5215146895
18,1,2,20,133,133,101979.78051557348
19,1,2,21,133,133,103138.63256275644
20,1,2,22,134,134,100873.27365846536
21,1,2,23,133,133,98769.32626790692
22,1,2,24,134,134,97959.75845956751
23,1,2,25,133,133,105656.79357986647
24,1,2,26,133,133,103016.04436963359
25,1,2,27,135,135,106948.44336535501
26,1,2,28,135,135,106948.44336535501
27,1,2,29,135,135,106948.44336535501
28,1,2,30,134,134,112253.60647865607
29,1,2,31,135,135,111030.2437598932
30,1,2,32,133,133,116626.13423589115
31,1,2,33,133,133,115809.0593064104
32,1,2,34,133,133,115809.0593064104
33,1,2,35,132,132,116363.3707185644
34,1,2,36,132,132,115267.45852797435
35,1,2,37,132,132,115267.45852797435
36,1,2,38,132,132,115267.45852797435
37,1,2,39,133,133,108744.77006621592
38,1,3,2,165,165,94229.57697651008
39,1,3,3,149,149,109761.84686163095
40,1,3,4,141,141,89233.6672002598
41,1,3,5,131,131,96037.30526507417
42,1,3,6,124,124,94346.30189475005
43,1,3,7,119,119,104308.12294644216
44,1,3,8,117,117,112042.8600323499
45,1,3,9,118,118,110035.62324895572
46,1,3,10,118,118,109698.55802938316
47,1,3,11,115,115,110353.98110249253
48,1,3,12,113,113,113428.93092913287
49,1,3,13,111,111,117100.91942592
50,1,3,14,111,111,119527.08289491519
51,1,3,15,112,112,127459.42007773364
52,1,3,16,109,109,125635.4783198259
53,1,3,17,108,108,128998.51335151827
54,1,3,18,107,107,137425.40019035587
55,1,3,19,107,107,134920.07858496177
56,1,3,20,107,107,134673.1956298934
57,1,3,21,107,107,134568.73207637557
58,1,3,22,105,105,136534.88123678073
59,1,3,23,104,104,137981.3914766584
60,1,3,24,104,104,137981.3914766584
61,1,3,25,105,105,142201.4763325704
62,1,3,26,106,106,139000.91075300612
63,1,3,27,106,106,126967.0594990085
64,1,3,28,108,108,123255.84605951274
65,1,3,29,108,108,123581.56951696434
66,1,3,30,107,107,126839.125282664
67,1,3,31,106,106,132893.16625772393
68,1,3,32,106,106,132893.16625772393
69,1,3,33,105,105,134796.86273751347
70,1,3,34,105,105,134796.86273751347
71,1,3,35,105,105,134796.86273751347
72,1,3,36,105,105,134796.86273751347
73,1,3,37,106,106,134857.55292253417
74,1,3,38,106,106,134857.55292253417
75,1,3,39,108,108,132238.18653638705
76,2,3,2,136,136,111787.44192474992
77,2,3,3,117,117,92686.33636804928
78,2,3,4,110,110,104336.7158752339
79,2,3,5,108,108,110321.60848118133
80,2,3,6,105,105,113191.2439520482
81,2,3,7,97,97,150071.26552335612
82,2,3,8,91,91,172122.92227403517
83,2,3,9,88,88,156118.13906864717
84,2,3,10,88,88,173295.4738387332
85,2,3,11,85,85,177664.77858562584
86,2,3,12,84,84,181313.3486505288
87,2,3,13,84,84,181704.42294895923
88,2,3,14,83,83,178730.31582560073
89,2,3,15,81,81,194051.8924054662
90,2,3,16,81,81,173595.82311388198
91,2,3,17,82,82,169468.49299066013
92,2,3,18,82,82,167202.81233983795
93,2,3,19,83,83,155919.21602243127
94,2,3,20,83,83,145102.81490711725
95,2,3,21,81,81,152426.6348915689
